Serie;Codigo_municipio;Nombre;2023
Municipios;1049;Paracuellos de Jarama;Paracuellos de Jarama;3184;3361;3460;
Municipios;1065;Parla;Parla;11977;12762;13610;
Municipios;1071;Patones;Patones;44;38;39;
Municipios;1087;Pedrezuela;Pedrezuela;705;714;715;
Municipios;1090;Pelayos de la Presa;Pelayos de la Presa;218;219;240;
Municipios;1104;Perales de Tajuña;Perales de Tajuña;266;282;284;
Municipios;1111;Pezuela de las Torres;Pezuela de las Torres;68;66;75;
Municipios;1126;Pinilla del Valle;Pinilla del Valle;16;14;17;
Municipios;1132;Pinto;Pinto;5409;5651;5796;
Municipios;1147;Piñuécar-Gandullas;Piñuécar-Gandullas;13;15;12;
Municipios;1150;Pozuelo de Alarcón;Pozuelo de Alarcón;7166;7094;6971;
Municipios;1163;Pozuelo del Rey;Pozuelo del Rey;98;108;125;
Municipios;1179;Prádena del Rincón;Prádena del Rincón;20;23;18;
Municipios;1185;Puebla de la Sierra;Puebla de la Sierra;11;11;11;
Municipios;9020;Puentes Viejas;Puentes Viejas;59;64;73;
Municipios;1198;Quijorna;Quijorna;422;413;417;
Municipios;1202;Rascafría;Rascafría;121;114;112;
Municipios;1219;Redueña;Redueña;32;27;26;
Municipios;1224;Ribatejada;Ribatejada;77;68;73;
Municipios;1230;Rivas-Vaciamadrid;Rivas-Vaciamadrid;8539;9103;9347;
Municipios;1245;Robledillo de la Jara;Robledillo de la Jara;8;15;16;
Municipios;1258;Robledo de Chavela;Robledo de Chavela;426;428;448;
Municipios;1261;Robregordo;Robregordo;6;7;7;
Municipios;1277;Rozas de Madrid (Las);Rozas de Madrid (Las);9150;9054;9037;
Municipios;1283;Rozas de Puerto Real;Rozas de Puerto Real;55;57;50;
Municipios;1296;San Agustín del Guadalix;San Agustín del Guadalix;1471;1462;1420;
Municipios;1300;San Fernando de Henares;San Fernando de Henares;3208;3147;3082;
Municipios;1317;San Lorenzo de El Escorial;San Lorenzo de El Escorial;1572;1598;1621;
Municipios;1338;San Martín de Valdeiglesias;San Martín de Valdeiglesias;699;698;727;
Municipios;1322;San Martín de la Vega;San Martín de la Vega;1856;1924;2037;
Municipios;1343;San Sebastián de los Reyes;San Sebastián de los Reyes;8531;8856;9111;
Municipios;1356;Santa María de la Alameda;Santa María de la Alameda;123;141;136;
Municipios;1369;Santorcaz;Santorcaz;85;88;92;
Municipios;1375;Santos de la Humosa (Los);Santos de la Humosa (Los);298;334;333;
Municipios;1381;Serna del Monte (La);Serna del Monte (La);4;5;4;
Municipios;1408;Serranillos del Valle;Serranillos del Valle;431;439;465;
Municipios;1415;Sevilla la Nueva;Sevilla la Nueva;1069;1110;1097;
Municipios;1436;Somosierra;Somosierra;9;6;4;
Municipios;1441;Soto del Real;Soto del Real;810;786;775;
Municipios;1454;Talamanca de Jarama;Talamanca de Jarama;386;405;433;
Municipios;1467;Tielmes;Tielmes;258;262;241;
Municipios;1473;Titulcia;Titulcia;133;126;134;
Municipios;1489;Torrejón de Ardoz;Torrejón de Ardoz;12066;12895;13439;
Municipios;1505;Torrejón de Velasco;Torrejón de Velasco;511;508;505;
Municipios;1492;Torrejón de la Calzada;Torrejón de la Calzada;879;907;971;
Municipios;1512;Torrelaguna;Torrelaguna;474;474;479;
Municipios;1527;Torrelodones;Torrelodones;2254;2313;2282;
Municipios;1533;Torremocha de Jarama;Torremocha de Jarama;83;92;105;
Municipios;1548;Torres de la Alameda;Torres de la Alameda;725;745;766;
Municipios;9036;Tres Cantos;Tres Cantos;3921;4028;4113;
Municipios;1551;Valdaracete;Valdaracete;41;45;42;
Municipios;1564;Valdeavero;Valdeavero;143;173;176;
Municipios;1570;Valdelaguna;Valdelaguna;95;98;102;
Municipios;1586;Valdemanco;Valdemanco;110;110;112;
Municipios;1599;Valdemaqueda;Valdemaqueda;62;61;74;
Municipios;1603;Valdemorillo;Valdemorillo;1391;1384;1357;
Municipios;1610;Valdemoro;Valdemoro;9123;9490;9625;
Municipios;1625;Valdeolmos-Alalpardo;Valdeolmos-Alalpardo;455;473;503;
Municipios;1631;Valdepiélagos;Valdepiélagos;75;79;81;
Municipios;1646;Valdetorres de Jarama;Valdetorres de Jarama;448;469;498;
Municipios;1659;Valdilecha;Valdilecha;274;261;265;
Municipios;1662;Valverde de Alcalá;Valverde de Alcalá;52;54;50;
Municipios;1678;Velilla de San Antonio;Velilla de San Antonio;1258;1270;1273;
Municipios;1684;Vellón (El);Vellón (El);203;225;228;
Municipios;1697;Venturada;Venturada;270;276;286;
Municipios;1718;Villa del Prado;Villa del Prado;564;538;549;
Municipios;1701;Villaconejos;Villaconejos;279;280;280;
Municipios;1723;Villalbilla;Villalbilla;1371;1484;1624;
Municipios;1739;Villamanrique de Tajo;Villamanrique de Tajo;67;63;68;
Municipios;1744;Villamanta;Villamanta;222;203;217;
Municipios;1757;Villamantilla;Villamantilla;173;186;181;
Municipios;1782;Villanueva de Perales;Villanueva de Perales;174;173;180;
Municipios;1760;Villanueva de la Cañada;Villanueva de la Cañada;1947;2003;2046;
Municipios;1776;Villanueva del Pardillo;Villanueva del Pardillo;2187;2182;2086;
Municipios;1795;Villar del Olmo;Villar del Olmo;193;187;183;
Municipios;1809;Villarejo de Salvanés;Villarejo de Salvanés;651;681;660;
Municipios;1816;Villaviciosa de Odón;Villaviciosa de Odón;2314;2383;2390;
Municipios;1821;Villavieja del Lozoya;Villavieja del Lozoya;23;23;22;
Municipios;1837;Zarzalejo;Zarzalejo;170;184;189;
